Trial_ID	File	Object	Condition	Trial_Start	Trial_End	Trial_Duration	Trial_Accuracy	Question_ID	Question_Order	Question	True_Answer	Sender_Answer	Sender_Answered_Guessed	Receiver_Answer	TMS_Intensity	Question_Start	Question_End	Question_Duration	Question_Accuracy
1	/20Questions/Questions-Kitchen-01.csv	Large cutting board	Experimental	2014-12-30,00:10:17.821	2014-12-30,00:12:18.250	120.429	0.667	1	1	Shiny?	No	No	False	No	44	2014-12-30,00:10:28.602	2014-12-30,00:10:59.209	30.606	1.000
1	/20Questions/Questions-Kitchen-01.csv	Large cutting board	Experimental	2014-12-30,00:10:17.821	2014-12-30,00:12:18.250	120.429	0.667	2	2	Heavy?	Yes	Yes	True	No	64	2014-12-30,00:11:10.476	2014-12-30,00:11:45.069	34.593	0.000
1	/20Questions/Questions-Kitchen-01.csv	Large cutting board	Experimental	2014-12-30,00:10:17.821	2014-12-30,00:12:18.250	120.429	0.667	3	3	Heavy?	Yes	Yes	False	Yes	62	2014-12-30,00:11:47.016	2014-12-30,00:12:18.250	31.234	1.000
2	/20Questions/Questions-Animal-01.csv	Basset hound	Experimental	2014-12-30,00:12:52.178	2014-12-30,00:14:39.931	107.753	1.000	4	1	Is it a mammal?	Yes	Yes	False	Yes	62	2014-12-30,00:12:57.815	2014-12-30,00:13:29.352	31.538	1.000
2	/20Questions/Questions-Animal-01.csv	Basset hound	Experimental	2014-12-30,00:12:52.178	2014-12-30,00:14:39.931	107.753	1.000	5	2	Can it fly?	No	No	False	No	46	2014-12-30,00:13:34.464	2014-12-30,00:14:05.451	30.987	1.000
2	/20Questions/Questions-Animal-01.csv	Basset hound	Experimental	2014-12-30,00:12:52.178	2014-12-30,00:14:39.931	107.753	1.000	6	3	Is it a pet?	Yes	Yes	False	Yes	64	2014-12-30,00:14:09.503	2014-12-30,00:14:39.931	30.428	1.000
3	/20Questions/Questions-Animal-02.csv	Platypus	Control	2014-12-30,00:15:19.875	2014-12-30,00:17:03.841	103.966	0.333	7	1	Does it live in the water?	Yes	Yes	False	No	62	2014-12-30,00:15:26.536	2014-12-30,00:15:56.053	29.518	0.000
3	/20Questions/Questions-Animal-02.csv	Platypus	Control	2014-12-30,00:15:19.875	2014-12-30,00:17:03.841	103.966	0.333	8	2	Does it have a tail?	Yes	Yes	False	No	64	2014-12-30,00:15:59.341	2014-12-30,00:16:30.538	31.197	0.000
3	/20Questions/Questions-Animal-02.csv	Platypus	Control	2014-12-30,00:15:19.875	2014-12-30,00:17:03.841	103.966	0.333	9	3	Is it edible?	No	No	False	No	44	2014-12-30,00:16:33.697	2014-12-30,00:17:03.841	30.143	1.000
4	/20Questions/Questions-Animal-03.csv	St. Bernard Dog	Experimental	2014-12-30,00:21:46.589	2014-12-30,00:23:43.302	116.713	1.000	10	1	Larger than a child?	Yes	Yes	False	Yes	64	2014-12-30,00:21:54.163	2014-12-30,00:22:23.812	29.650	1.000
4	/20Questions/Questions-Animal-03.csv	St. Bernard Dog	Experimental	2014-12-30,00:21:46.589	2014-12-30,00:23:43.302	116.713	1.000	11	2	Carnivorous?	Yes	Yes	False	Yes	62	2014-12-30,00:22:26.816	2014-12-30,00:23:03.444	36.627	1.000
4	/20Questions/Questions-Animal-03.csv	St. Bernard Dog	Experimental	2014-12-30,00:21:46.589	2014-12-30,00:23:43.302	116.713	1.000	12	3	Domesticated?	Yes	Yes	False	Yes	62	2014-12-30,00:23:09.938	2014-12-30,00:23:43.302	33.364	1.000
5	/20Questions/Questions-City-01.csv	Boulder	Experimental	2014-12-30,00:24:47.927	2014-12-30,00:26:42.648	114.720	1.000	13	1	West Coast?	Yes	Yes	False	Yes	62	2014-12-30,00:24:55.153	2014-12-30,00:25:28.641	33.488	1.000
5	/20Questions/Questions-City-01.csv	Boulder	Experimental	2014-12-30,00:24:47.927	2014-12-30,00:26:42.648	114.720	1.000	14	2	Popular destination spot?	Yes	Yes	False	Yes	66	2014-12-30,00:25:35.055	2014-12-30,00:26:06.302	31.247	1.000
5	/20Questions/Questions-City-01.csv	Boulder	Experimental	2014-12-30,00:24:47.927	2014-12-30,00:26:42.648	114.720	1.000	15	3	Has a football team?	No	No	False	No	44	2014-12-30,00:26:11.780	2014-12-30,00:26:42.648	30.867	1.000
6	/20Questions/Questions-Dwelling-01.csv	Hotel	Control	2014-12-30,00:27:34.859	2014-12-30,00:29:24.400	109.540	0.333	16	1	Spacious?	Yes	Yes	False	No	62	2014-12-30,00:27:41.859	2014-12-30,00:28:12.716	30.856	0.000
6	/20Questions/Questions-Dwelling-01.csv	Hotel	Control	2014-12-30,00:27:34.859	2014-12-30,00:29:24.400	109.540	0.333	17	2	Kitchen?	No	No	False	No	44	2014-12-30,00:28:15.842	2014-12-30,00:28:46.005	30.163	1.000
6	/20Questions/Questions-Dwelling-01.csv	Hotel	Control	2014-12-30,00:27:34.859	2014-12-30,00:29:24.400	109.540	0.333	18	3	Onsite laundry?	Yes	Yes	False	No	66	2014-12-30,00:28:52.108	2014-12-30,00:29:24.400	32.291	0.000
7	/20Questions/Questions-Family-01.csv	Father	Control	2014-12-30,00:30:13.506	2014-12-30,00:32:08.332	114.826	1.000	19	1	Likely older than you?	Yes	Yes	False	Yes	64	2014-12-30,00:30:19.168	2014-12-30,00:30:53.040	33.872	1.000
7	/20Questions/Questions-Family-01.csv	Father	Control	2014-12-30,00:30:13.506	2014-12-30,00:32:08.332	114.826	1.000	20	2	Immediate family?	Yes	Yes	False	Yes	62	2014-12-30,00:31:00.775	2014-12-30,00:31:32.717	31.943	1.000
7	/20Questions/Questions-Family-01.csv	Father	Control	2014-12-30,00:30:13.506	2014-12-30,00:32:08.332	114.826	1.000	21	3	Female?	No	No	False	No	42	2014-12-30,00:31:38.295	2014-12-30,00:32:08.332	30.037	1.000
8	/20Questions/Questions-Flavor-01.csv	Maple Syrup	Experimental	2014-12-30,00:33:19.546	2014-12-30,00:35:14.729	115.182	1.000	22	1	Sweet?	Yes	Yes	False	Yes	66	2014-12-30,00:33:23.460	2014-12-30,00:33:54.867	31.407	1.000
