Trial_ID	File	Object	Condition	Trial_Start	Trial_End	Trial_Duration	Trial_Accuracy	Question_ID	Question_Order	Question	True_Answer	Sender_Answer	Sender_Answered_Guessed	Receiver_Answer	TMS_Intensity	Question_Start	Question_End	Question_Duration	Question_Accuracy
1	/20Questions/Questions-Animal-01.csv	Basset hound	Experimental	2015-02-03,00:02:04.901	2015-02-03,00:07:05.673	300.772	1.000	1	1	Can it fly?	No	No	True	No	48	2015-02-03,00:02:10.973	2015-02-03,00:02:43.119	32.147	1.000
1	/20Questions/Questions-Animal-01.csv	Basset hound	Experimental	2015-02-03,00:02:04.901	2015-02-03,00:07:05.673	300.772	1.000	2	2	Is it a mammal?	Yes	Yes	True	Yes	67	2015-02-03,00:02:46.736	2015-02-03,00:03:34.325	47.589	1.000
1	/20Questions/Questions-Animal-01.csv	Basset hound	Experimental	2015-02-03,00:02:04.901	2015-02-03,00:07:05.673	300.772	1.000	3	3	Is it a pet?	Yes	Yes	True	Yes	69	2015-02-03,00:06:36.365	2015-02-03,00:07:05.673	29.307	1.000
2	/20Questions/Questions-Animal-02.csv	Ant	Control	2015-02-03,00:07:43.128	2015-02-03,00:09:30.332	107.204	1.000	4	1	Does it have a tail?	No	No	True	No	46	2015-02-03,00:07:46.296	2015-02-03,00:08:18.971	32.676	1.000
2	/20Questions/Questions-Animal-02.csv	Ant	Control	2015-02-03,00:07:43.128	2015-02-03,00:09:30.332	107.204	1.000	5	2	Does it live in the water?	No	No	True	No	44	2015-02-03,00:08:27.075	2015-02-03,00:08:56.095	29.020	1.000
2	/20Questions/Questions-Animal-02.csv	Ant	Control	2015-02-03,00:07:43.128	2015-02-03,00:09:30.332	107.204	1.000	6	3	Is it edible?	No	No	True	No	48	2015-02-03,00:08:59.908	2015-02-03,00:09:30.332	30.424	1.000
3	/20Questions/Questions-Animal-03.csv	Koala	Experimental	2015-02-03,00:10:19.075	2015-02-03,00:11:53.516	94.441	1.000	7	1	Carnivorous?	No	No	True	No	44	2015-02-03,00:10:21.930	2015-02-03,00:10:50.528	28.598	1.000
3	/20Questions/Questions-Animal-03.csv	Koala	Experimental	2015-02-03,00:10:19.075	2015-02-03,00:11:53.516	94.441	1.000	8	2	Domesticated?	No	No	True	No	44	2015-02-03,00:10:53.661	2015-02-03,00:11:22.401	28.740	1.000
3	/20Questions/Questions-Animal-03.csv	Koala	Experimental	2015-02-03,00:10:19.075	2015-02-03,00:11:53.516	94.441	1.000	9	3	Larger than a child?	No	No	True	No	46	2015-02-03,00:11:25.515	2015-02-03,00:11:53.516	28.001	1.000
4	/20Questions/Questions-Dwelling-01.csv	Dorm	Control	2015-02-03,00:12:35.711	2015-02-03,00:14:13.990	98.279	0.333	10	1	Kitchen?	No	Yes	False	No	67	2015-02-03,00:12:38.198	2015-02-03,00:13:09.082	30.884	0.000
4	/20Questions/Questions-Dwelling-01.csv	Dorm	Control	2015-02-03,00:12:35.711	2015-02-03,00:14:13.990	98.279	0.333	11	2	Onsite laundry?	Yes	Yes	True	No	69	2015-02-03,00:13:12.201	2015-02-03,00:13:41.267	29.066	0.000
4	/20Questions/Questions-Dwelling-01.csv	Dorm	Control	2015-02-03,00:12:35.711	2015-02-03,00:14:13.990	98.279	0.333	12	3	Spacious?	No	No	True	No	46	2015-02-03,00:13:45.776	2015-02-03,00:14:13.990	28.214	1.000
5	/20Questions/Questions-Family-01.csv	Nephew	Experimental	2015-02-03,00:14:48.255	2015-02-03,00:17:11.436	143.181	1.000	13	1	Immediate family?	No	No	True	No	48	2015-02-03,00:14:54.075	2015-02-03,00:15:22.519	28.445	1.000
5	/20Questions/Questions-Family-01.csv	Nephew	Experimental	2015-02-03,00:14:48.255	2015-02-03,00:17:11.436	143.181	1.000	14	2	Likely older than you?	No	No	True	No	48	2015-02-03,00:15:25.384	2015-02-03,00:15:57.219	31.835	1.000
5	/20Questions/Questions-Family-01.csv	Nephew	Experimental	2015-02-03,00:14:48.255	2015-02-03,00:17:11.436	143.181	1.000	15	3	Likely older than you?	No	No	True	No	44	2015-02-03,00:15:59.214	2015-02-03,00:16:31.115	31.901	1.000
5	/20Questions/Questions-Family-01.csv	Nephew	Experimental	2015-02-03,00:14:48.255	2015-02-03,00:17:11.436	143.181	1.000	16	4	Female?	No	No	True	No	44	2015-02-03,00:16:34.973	2015-02-03,00:17:11.436	36.463	1.000
6	/20Questions/Questions-Flavor-01.csv	Sprinkles	Experimental	2015-02-03,00:18:01.344	2015-02-03,00:19:40.289	98.946	0.667	17	1	Liquid?	No	No	True	No	48	2015-02-03,00:18:05.891	2015-02-03,00:18:34.312	28.421	1.000
6	/20Questions/Questions-Flavor-01.csv	Sprinkles	Experimental	2015-02-03,00:18:01.344	2015-02-03,00:19:40.289	98.946	0.667	18	2	Sweet?	Yes	Yes	False	No	69	2015-02-03,00:18:37.615	2015-02-03,00:19:07.684	30.068	0.000
