Trial_ID	File	Object	Condition	Trial_Start	Trial_End	Trial_Duration	Trial_Accuracy	Question_ID	Question_Order	Question	True_Answer	Sender_Answer	Sender_Answered_Guessed	Receiver_Answer	TMS_Intensity	Question_Start	Question_End	Question_Duration	Question_Accuracy
1	/20Questions/Questions-Animal-01.csv	Parakeet	Experimental	2014-12-20,01:20:46.223	2014-12-20,01:22:24.542	98.319	1.000	1	1	Can it fly?	Yes	Yes	False	Yes	58	2014-12-20,01:20:49.326	2014-12-20,01:21:21.153	31.826	1.000
1	/20Questions/Questions-Animal-01.csv	Parakeet	Experimental	2014-12-20,01:20:46.223	2014-12-20,01:22:24.542	98.319	1.000	2	2	Is it a mammal?	No	No	True	No	41	2014-12-20,01:21:23.805	2014-12-20,01:21:52.193	28.388	1.000
1	/20Questions/Questions-Animal-01.csv	Parakeet	Experimental	2014-12-20,01:20:46.223	2014-12-20,01:22:24.542	98.319	1.000	3	3	Is it a pet?	Yes	Yes	False	Yes	60	2014-12-20,01:21:54.144	2014-12-20,01:22:24.542	30.399	1.000
2	/20Questions/Questions-Animal-02.csv	Pig	Experimental	2014-12-20,01:23:11.440	2014-12-20,01:24:50.769	99.328	1.000	4	1	Does it have a tail?	Yes	Yes	False	Yes	58	2014-12-20,01:23:16.220	2014-12-20,01:23:46.430	30.209	1.000
2	/20Questions/Questions-Animal-02.csv	Pig	Experimental	2014-12-20,01:23:11.440	2014-12-20,01:24:50.769	99.328	1.000	5	2	Does it live in the water?	No	No	False	No	37	2014-12-20,01:23:48.660	2014-12-20,01:24:18.888	30.229	1.000
2	/20Questions/Questions-Animal-02.csv	Pig	Experimental	2014-12-20,01:23:11.440	2014-12-20,01:24:50.769	99.328	1.000	6	3	Is it edible?	Yes	Yes	True	Yes	58	2014-12-20,01:24:22.158	2014-12-20,01:24:50.769	28.610	1.000
3	/20Questions/Questions-Animal-03.csv	Horse	Control	2014-12-20,01:25:42.530	2014-12-20,01:27:19.380	96.849	0.667	7	1	Carnivorous?	No	No	True	No	41	2014-12-20,01:25:45.450	2014-12-20,01:26:13.767	28.317	1.000
3	/20Questions/Questions-Animal-03.csv	Horse	Control	2014-12-20,01:25:42.530	2014-12-20,01:27:19.380	96.849	0.667	8	2	Domesticated?	Yes	No	False	No	39	2014-12-20,01:26:16.013	2014-12-20,01:26:46.309	30.296	1.000
3	/20Questions/Questions-Animal-03.csv	Horse	Control	2014-12-20,01:25:42.530	2014-12-20,01:27:19.380	96.849	0.667	9	3	Larger than a child?	Yes	Yes	False	No	62	2014-12-20,01:26:48.980	2014-12-20,01:27:19.380	30.399	0.000
4	/20Questions/Questions-City-01.csv	New York	Control	2014-12-20,01:28:31.483	2014-12-20,01:30:13.973	102.490	0.667	10	1	West Coast?	No	No	True	No	37	2014-12-20,01:28:37.783	2014-12-20,01:29:06.187	28.404	1.000
4	/20Questions/Questions-City-01.csv	New York	Control	2014-12-20,01:28:31.483	2014-12-20,01:30:13.973	102.490	0.667	11	2	Has a football team?	Yes	No	False	No	41	2014-12-20,01:29:08.407	2014-12-20,01:29:38.691	30.284	1.000
